AA
AA0	\u0251\u02D0
AA1	\u0251\u0301\u02D0
AA2	\u0251\u0300\u02D0
AE
AE0	\u00E6
AE1	\u00E6\u0301
AE2	\u00E6\u0300
AH
AH0	\u0259
AH1	\u028C\u0301
AH2	\u028C\u0300
AO
AO0	\u0254
AO1	\u0254\u0301
AO2	\u0254\u0300
AW
AW0	\u0061\u028A
AW1	\u0061\u0301\u028A
AW2	\u0061\u0300\u028A
AY
AY0	\u0061\u026A
AY1	\u0061\u0301\u026A
AY2	\u0061\u0300\u026A
B	\u0062
CH	\u02A7	\u0074\u0283
D	\u0064
DH	\u00F0
EH
EH0	\u025B
EH1	\u025B\u0301
EH2	\u025B\u0300
ER
ER0	\u025C\u02D0\u0072
ER1	\u025C\u0301\u02D0\u0072
ER2	\u025C\u02D0\u0072
EY
EY0	\u0065\u026A
EY1	\u0065\u0301\u026A
EY2	\u0065\u0300\u026A
F	\u0066
G	\u0261
HH	\u0068
IH
IH0	\u026A
IH1	\u026A\u0301
IH2	\u026A\u0300
IY
IY0	\u0069\u02D0
IY1	\u0069\u0301\u02D0
IY2	\u0069\u0300\u02D0
JH	\u02A4	\u0064\u0292
K	\u006B
L	\u026B
M	\u006D
N	\u006E
NG	\u014B
OW
OW0	\u006F\u028A
OW1	\u006F\u0301\u028A
OW2	\u006F\u0300\u028A
OY
OY0	\u0254\u026A
OY1	\u0254\u0301\u026A
OY2	\u0254\u0300\u026A
P	\u0070
R	\u0072	\u0279
S	\u0073
SH	\u0283
T	\u0074
TH	\u03B8
UH
UH0	\u028A
UH1	\u028A\u0301
UH2	\u028A\u0300
UW
UW0	\u0075
UW1	\u0075\u0301
UW2	\u0075\u0300
V	\u0076
W	\u0077
Y	\u006A
Z	\u007A
ZH	\u0292
