AA
AA0	ɑː
AA1	ɑ́ː
AA2	ɑ̀ː
AE
AE0	æ
AE1	ǽ
AE2	æ̀
AH
AH0	ə
AH1	ʌ́
AH2	ʌ
AO
AO0	ɔ
AO1	ɔ́
AO2	ɔ̀
AW
AW0	aʊ
AW1	áʊ
AW2	àʊ
AY
AY0	aɪ
AY1	áɪ
AY2	àɪ
B	b
CH	ʧ
D	d
DH ð
EH
EH0	ɛ
EH1	ɛ
EH2	ɛ̀
ER
ER0	ɜːr
ER1	ɜ́ːr
ER2	ɜ̀ːr
EY
EY0	eɪ
EY1	éɪ
EY2	èɪ
F	f
G	ɡ
HH	h
IH
IH0	ɪ
IH1	ɪ́
IH2	ɪ̀
IY
IY0	\u0069\u02D0
IY1	\u0069\u0301\u02D0
IY2	\u0069\u0300\u02D0
JH	\u02A4	\u0064\u0292
K	\u006B
L	\u026B
M	\u006D
N	\u006E
NG	\u014B
OW
OW0	\u006F\u028A
OW1	\u006F\u0301\u028A
OW2	\u006F\u0300\u028A
OY
OY0	\u0254\u026A
OY1	\u0254\u0301\u026A
OY2	\u0254\u0300\u026A
P	\u0070
R	\u0072	\u0279
S	\u0073
SH	\u0283
T	\u0074
TH	\u03B8
UH
UH0	\u028A
UH1	\u028A\u0301
UH2	\u028A\u0300
UW
UW0	\u0075
UW1	\u0075\u0301
UW2	\u0075\u0300
V	\u0076
W	\u0077
Y	\u006A
Z	\u007A
ZH	\u0292
